ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,ruwe,teff_gspphot,phot_variable_flag,distance_pc,abs_mag,phase,cluster
257.22972149646444,-56.878092830367734,10.611079827705847,0.02246419,14.425209,15.723781,13.2963295,2.4274511,-32.028934,1.0109174,3512.8457,VARIABLE,94.2411155355716,9.55400690883348,Main Sequence,4
254.21738161461147,-21.776764894915473,10.329181488107269,0.01679528,9.638297,9.921598,9.184546,0.73705196,-25.91419,0.8952142,5951.432,NOT_AVAILABLE,96.81309222336466,4.708626541149693,Main Sequence,1
227.49454528609365,-49.24564363896456,14.349743349315776,0.017345918,8.533019,8.851728,8.042265,0.8094635,-34.0517,0.8540019,5695.6494,NOT_AVAILABLE,69.68765751811735,4.317239668077338,Main Sequence,1
227.40927838135207,-49.22526002680703,13.116908447263697,0.0178389,12.856996,13.847513,11.867072,1.9804411,-2.04537,0.9626386,3946.6846,VARIABLE,76.23747653804878,8.44615343643798,Main Sequence,0
227.98965017142152,-48.743879644100296,17.90604963814855,0.0587225,5.6881294,5.749547,5.552103,0.19744396,-8.343658,0.811829,8135.731,NOT_AVAILABLE,55.84704723868944,1.9531283204270735,Main Sequence,3
255.88421502860305,-56.6618742834974,12.40115303595388,0.017921157,10.948894,11.470516,10.274515,1.196001,-2.6693304,1.0350655,4772.9956,NOT_AVAILABLE,80.63766305445655,6.4162043346304305,Main Sequence,2
255.67032266578585,-56.53573524658115,10.040877587437866,0.023355003,14.479182,15.812501,13.338329,2.4741716,-3.899262,1.0494528,3536.5142,NOT_AVAILABLE,99.59288830003258,9.488040362215044,Main Sequence,4
257.33197339055505,-56.53081978307769,12.549319655699192,0.014311409,9.9765005,10.36297,9.420348,0.9426222,5.8669834,0.88199306,5423.9077,NOT_AVAILABLE,79.68559471236806,5.469601408852322,Main Sequence,1
255.18504156720832,-56.72145199310391,12.575858082720693,0.014328587,10.980953,11.564257,10.259477,1.30478,38.26659,0.8324731,4666.9795,NOT_AVAILABLE,79.5174367762631,6.47864113876966,Main Sequence,2
257.5207045575969,-56.44982135034755,15.818769777592385,0.023178669,8.048586,8.388516,7.5384464,0.85007,-3.9764621,0.96500003,5573.9907,NOT_AVAILABLE,63.21604107397282,4.044449527420811,Main Sequence,3
